,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
292,Sabha,LY,1551679146,27.03,14.43,0,62,44.7,2.91
293,Mehriz,IR,1551676800,31.58,54.44,0,25,53.6,2.24
294,Kaeng Khoi,TH,1551678700,14.59,101.0,12,73,97.0,3.0
295,Sept-Iles,CA,1551678394,50.2,-66.38,75,78,12.0,9.17
296,Half Moon Bay,US,1551679145,37.46,-122.43,90,87,53.6,9.17
297,Hofn,IS,1551679149,64.25,-15.21,68,100,35.39,35.57
298,Oskaloosa,US,1551678993,39.22,-95.31,1,59,3.99,10.29
299,Codrington,AU,1551678829,-28.95,153.24,75,45,84.2,13.87
300,Vardo,US,1551679146,39.62,-77.74,90,93,33.8,9.17
301,Akonolinga,CM,1551679150,3.77,12.24,48,95,71.48,2.35
302,Soe,EE,1551679118,57.91,26.05,88,92,27.0,6.93
303,Lagoa,PT,1551679029,37.14,-8.45,40,93,55.99,4.7
304,Iqaluit,CA,1551678765,63.75,-68.52,5,75,-14.01,4.7
305,Tautira,PF,1551678785,-17.73,-149.15,20,78,82.4,8.05
306,Kefar Shemaryahu,IL,1551678989,32.19,34.82,75,81,55.0,6.93
307,Kawalu,ID,1551679153,-7.38,108.21,24,75,81.2,3.13
308,Bulungu,CD,1551679154,-4.54,18.6,64,98,71.7,4.14
309,Soltau,DE,1551679094,52.99,9.84,20,66,54.0,11.41
310,Port-Gentil,GA,1551675600,-0.72,8.78,75,88,77.0,3.36
311,Port Blair,IN,1551675600,11.67,92.75,20,55,87.8,2.24
312,Lerik,AZ,1551675600,38.78,48.42,90,100,44.6,3.69
313,Touros,BR,1551679156,-5.2,-35.46,76,100,77.1,2.91
314,Hot Springs,US,1551679043,34.5,-93.06,90,68,30.2,6.93
315,Upernavik,GL,1551679157,72.79,-56.15,32,100,6.59,6.71
316,Griffith,AU,1551678017,-34.29,146.06,88,16,100.4,6.93
317,Coquimbo,CL,1551675600,-29.95,-71.34,0,93,59.0,1.12
318,Kattivakkam,IN,1551677623,13.22,80.32,40,59,89.6,5.82
319,Bambanglipuro,ID,1551679159,-7.95,110.28,8,100,82.05,2.68
320,Zhigansk,RU,1551679159,66.77,123.37,80,76,5.06,6.6
321,Rawson,AR,1551679159,-43.3,-65.11,88,39,62.43,12.75
322,Bembereke,BJ,1551679160,10.23,2.66,56,28,70.4,5.03
323,Yantongshan,CN,1551679160,43.28,126.02,88,68,45.02,4.7
324,Along,IN,1551679160,28.17,94.8,12,56,63.78,1.68
325,Vanavara,RU,1551679161,60.35,102.28,8,73,23.55,6.38
326,Buritizeiro,BR,1551679161,-17.37,-44.96,36,89,70.04,3.91
327,Anori,BR,1551679162,-3.74,-61.66,8,92,76.16,2.91
328,Pangkalanbuun,ID,1551679162,-2.68,111.62,20,88,87.68,3.69
329,Bronnoysund,NO,1551678901,65.46,12.2,0,67,21.99,8.05
330,Katsuura,JP,1551678883,33.93,134.5,75,87,51.8,13.87
331,Dickinson,US,1551679161,46.88,-102.79,1,69,-3.0,23.04
332,Aktau,KZ,1551677400,43.65,51.16,75,100,33.8,6.71
333,Veraval,FR,1551679103,49.65,0.71,75,75,48.2,23.04
334,Yining,CN,1551679165,29.04,114.56,48,70,58.92,3.8
335,Grand Gaube,MU,1551679146,-20.01,57.66,20,70,84.99,5.82
336,Meadow Lake,CA,1551679165,54.13,-108.44,0,61,-0.17,8.84
337,Mount Gambier,AU,1551675600,-37.83,140.78,0,33,75.2,13.87
338,Sorland,NO,1551678600,67.67,12.69,75,100,24.8,4.7
339,Ambon,FR,1551678977,47.55,-2.56,75,87,48.99,20.8
340,Alyangula,AU,1551675600,-13.85,136.42,75,70,84.2,9.17
341,Shache,CN,1551679167,38.42,77.24,80,45,46.64,5.14
342,Buncrana,GB,1551679167,55.14,-7.45,48,73,44.57,18.68
343,Beyneu,KZ,1551679168,45.32,55.19,20,74,27.29,5.37
344,Williams Lake,CA,1551675600,52.13,-122.14,5,45,5.0,8.05
345,Saint Anthony,US,1551678684,43.97,-111.68,1,66,16.0,9.17
346,Vanimo,PG,1551679169,-2.67,141.3,80,99,82.73,14.54
347,Keetmanshoop,NA,1551675600,-26.57,18.15,0,59,66.2,8.05
348,Kaitangata,NZ,1551679106,-46.28,169.85,12,54,67.97,23.26
349,Natalicio Talavera,PY,1551679170,-25.65,-56.31,0,77,68.82,2.91
350,Matara,PE,1551679170,-13.74,-72.9,68,100,41.69,1.57
351,Byron Bay,AU,1551678829,-28.65,153.62,40,69,84.2,12.75
352,Neuquen,AR,1551675600,-38.95,-68.06,0,39,64.4,8.05
353,Maluso,PH,1551675600,6.54,121.88,40,62,87.8,8.05
354,Ekhabi,RU,1551679172,53.51,142.97,0,87,13.52,10.85
355,San Ignacio,CL,1551678681,-36.8,-72.03,0,82,55.4,6.93
356,Grand Forks,US,1551678371,47.91,-97.06,1,76,-4.01,11.41
357,Aquiraz,BR,1551679106,-3.9,-38.39,75,88,78.01,5.82
358,Jalu,LY,1551679173,29.03,21.55,0,80,44.66,3.8
359,Namatanai,PG,1551679174,-3.66,152.44,24,100,82.68,6.15
360,Eirunepe,BR,1551679174,-6.66,-69.87,12,90,76.47,2.57
361,Maputo,MZ,1551675600,-25.97,32.57,75,94,78.8,5.82
362,Kandrian,PG,1551679175,-6.21,149.55,88,95,79.08,1.23
363,Guiberoua,CI,1551679175,6.24,-6.17,0,90,74.4,6.49
364,Isangel,VU,1551675600,-19.55,169.27,75,66,89.6,6.93
365,Macau,BR,1551679176,-5.11,-36.64,92,96,75.35,2.35
366,Kaniama,CD,1551679177,-7.57,24.18,80,91,70.85,3.58
367,Vila Velha,BR,1551679106,-3.71,-38.6,75,88,78.01,5.82
368,Mersing,MY,1551679178,2.43,103.84,24,62,88.17,10.4
369,Yar-Sale,RU,1551679178,66.83,70.83,92,92,13.07,18.12
370,Lerwick,GB,1551678600,60.15,-1.15,88,87,42.8,1.12
371,Orlik,RU,1551679179,52.51,99.83,0,65,27.65,2.46
372,Myitkyina,MM,1551679179,25.38,97.4,0,69,72.29,2.35
373,San Julian,SV,1551678600,13.7,-89.56,0,88,77.0,4.7
374,Eureka,US,1551679136,40.8,-124.16,90,100,48.99,6.93
375,Sarmakovo,RU,1551675600,43.74,43.19,0,73,26.6,4.47
376,Chara,GR,1551678796,39.42,22.43,0,86,44.01,4.7
377,Kirakira,SB,1551679181,-10.46,161.92,36,100,83.22,8.39
378,Nizhniy Kuranakh,RU,1551679182,58.84,125.49,44,58,16.35,3.58
379,Dicabisagan,PH,1551679182,17.08,122.42,32,92,78.5,5.26
380,Santiago,CL,1551679024,-33.44,-70.65,0,41,68.0,8.05
381,Jacareacanga,BR,1551679183,-6.22,-57.76,64,97,73.55,2.24
382,Sisimiut,GL,1551679016,66.94,-53.67,44,47,-2.82,1.9
383,Nagda,IN,1551679184,23.46,75.42,0,50,77.78,8.16
384,Davila,PH,1551675600,18.47,120.58,40,65,82.4,14.99
385,Hokitika,NZ,1551679185,-42.72,170.96,56,98,59.37,8.72
386,Genhe,CN,1551679186,50.78,121.52,80,66,32.1,5.14
387,Comodoro Rivadavia,AR,1551675600,-45.87,-67.48,0,94,55.4,17.22
388,Adre,TD,1551679186,13.47,22.2,0,47,68.1,3.8
389,Benoy,RU,1551675600,43.06,46.02,0,71,32.0,2.24
390,Marquette,US,1551678425,46.54,-87.4,1,69,-0.41,8.05
391,Anapskaya,RU,1551675600,44.9,37.38,75,86,39.2,13.42
392,Scarborough,GB,1551679143,54.28,-0.41,88,80,41.0,12.75
393,Brigantine,US,1551679181,39.41,-74.36,90,100,37.0,17.22
394,Sinnamary,GF,1551679188,5.38,-52.96,56,93,79.22,14.43
395,Pangnirtung,CA,1551679107,66.15,-65.72,36,61,-13.58,1.9
396,Saint-Georges,CA,1551678441,46.12,-70.67,88,89,21.0,2.68
397,West Bay,GB,1551679171,50.71,-2.76,20,93,42.01,3.36
398,Chinhoyi,ZW,1551679190,-17.36,30.19,0,64,73.82,4.36
399,Inhambane,MZ,1551679190,-23.87,35.38,64,84,83.09,7.72
400,Mozarlandia,BR,1551679148,-14.74,-50.57,56,94,67.52,2.91
401,Miri,NG,1551679191,10.31,9.75,32,57,66.98,3.13
402,Santa Maria,BR,1551679117,-29.69,-53.81,0,78,65.81,8.61
403,Fairbanks,US,1551678926,64.84,-147.72,1,84,21.0,2.91
404,Saint-Francois,FR,1551678411,46.42,3.91,88,81,53.01,19.46
405,Lincoln,GB,1551678962,53.23,-0.54,20,80,41.0,18.34
406,Bouna,CI,1551679194,9.27,-3.0,0,40,65.13,3.91
407,Ormara,PK,1551679195,25.21,64.64,0,92,71.52,4.36
408,Tecoanapa,MX,1551674640,16.99,-99.26,5,88,77.0,4.7
409,Tiznit,MA,1551679196,29.7,-9.73,0,95,48.53,0.34
410,Cap-aux-Meules,CA,1551679196,47.38,-61.86,8,100,9.83,6.38
411,Tommot,RU,1551679197,58.97,126.27,44,55,15.5,3.58
412,Srisailam,IN,1551679198,16.07,78.87,0,45,91.68,6.04
413,Araouane,ML,1551679198,18.9,-3.53,0,42,48.35,6.04
414,Oranjemund,ZA,1551679199,-28.55,16.43,88,92,62.43,8.28
415,Vao,EE,1551679199,59.1,26.19,76,87,21.53,5.82
416,Ginir,ET,1551679200,7.14,40.71,76,36,75.53,4.03
417,Saint George,GR,1551678796,39.45,22.34,0,86,44.01,4.7
418,Maniitsoq,GL,1551679211,65.42,-52.9,44,82,14.55,4.7
419,Teguldet,RU,1551679211,57.31,88.17,88,74,32.6,10.74
420,Vacaria,BR,1551679090,-28.51,-50.94,0,95,66.99,1.01
421,La Plaine,FR,1551679165,45.17,5.76,0,61,50.0,6.93
422,Anjiang,CN,1551679222,27.32,110.14,68,100,48.12,3.24
423,Masallatah,LY,1551679223,32.62,14.0,36,93,47.09,7.38
424,Minbu,MM,1551679224,20.18,94.88,0,42,90.38,2.24
425,Carutapera,BR,1551679224,-1.2,-46.02,80,98,75.12,4.03
426,Belmonte,PT,1551678447,40.36,-7.35,80,91,48.99,5.01
427,Tabory,PL,1551679207,53.89,19.53,92,91,46.0,8.99
428,Namie,JP,1551679206,37.52,140.86,75,100,46.99,18.34
429,Maracacume,BR,1551679227,-2.04,-45.96,80,97,72.74,1.79
430,Port Hedland,AU,1551675600,-20.31,118.58,0,24,104.0,16.11
431,Yarega,RU,1551679228,63.43,53.58,64,76,4.43,4.7
432,Ust-Nera,RU,1551679232,64.57,143.24,0,69,-18.3,2.46
433,Zhangjiakou,CN,1551679234,40.77,114.88,0,72,45.6,3.91
434,Coaldale,CA,1551677653,49.73,-112.62,5,62,-10.0,8.05
435,Norilsk,RU,1551679235,69.35,88.2,80,82,12.62,9.95
436,Usinsk,RU,1551679236,66.0,57.56,36,80,-5.21,7.61
437,Yeppoon,AU,1551675600,-23.13,150.74,0,40,89.6,17.22
438,Kandiari,PK,1551679237,26.92,68.52,0,94,64.28,3.8
439,Emod,HU,1551679238,47.93,20.82,68,90,37.46,8.61
440,Rapid Valley,US,1551679208,44.06,-103.15,1,69,-2.21,2.68
441,Kiunga,PG,1551679239,-6.12,141.3,44,79,84.35,2.68
442,Yerky,UA,1551679240,49.93,33.53,92,93,32.24,16.67
443,Nizhnyaya Poyma,RU,1551679240,56.16,97.2,44,74,32.24,3.58
444,Kurchum,KZ,1551679240,48.57,83.65,44,100,29.22,3.13
445,Alofi,NU,1551675600,-19.06,-169.92,64,88,77.0,10.29
446,Xuddur,SO,1551679241,4.12,43.89,0,68,78.41,12.97
447,Praia,BR,1551675600,-20.25,-43.81,0,73,69.8,5.82
448,Porbandar,IN,1551675600,21.64,69.61,5,39,78.8,5.82
449,Newala,TZ,1551679246,-10.94,39.28,24,98,77.87,4.25
450,Guerrero Negro,MX,1551679247,27.97,-114.04,68,98,56.18,12.64
451,Miranda,CO,1551679248,3.25,-76.23,36,100,48.98,2.01
452,Valparaiso,US,1551679246,41.47,-87.06,1,66,14.0,9.17
453,Varhaug,NO,1551679202,58.61,5.65,75,86,41.0,6.93
454,Horta,ES,1551679245,41.43,2.16,0,44,64.4,10.29
455,Kapit,MY,1551679251,2.02,112.94,68,77,82.82,2.91
456,Axim,GH,1551679251,4.87,-2.24,44,95,83.45,15.99
457,Batemans Bay,AU,1551679232,-35.71,150.18,36,32,86.0,1.99
458,Marfino,RU,1551678559,56.07,37.56,90,100,28.0,6.71
459,Mahon,IE,1551677400,51.89,-8.4,75,86,37.4,8.05
460,Sosva,RU,1551679254,59.17,61.86,64,67,18.83,7.16
461,New Castle,US,1551679025,41.0,-80.35,90,92,24.01,4.7
462,Oktyabrskoye,RU,1551679234,56.73,85.44,40,74,36.0,22.37
463,Joao Pinheiro,BR,1551679256,-17.74,-46.17,92,97,64.91,4.36
464,Uvira,CD,1551679258,-3.41,29.14,32,100,65.81,3.8
465,Miraflores,CO,1551679259,5.2,-73.14,80,98,51.41,0.67
466,Mecca,SA,1551679200,21.43,39.83,0,39,63.92,4.81
467,Ouadda,CF,1551679259,8.07,22.4,0,65,68.82,5.59
468,Vestmanna,FO,1551678600,62.16,-7.17,92,80,41.0,13.87
469,Thoen,TH,1551679261,17.61,99.22,0,29,92.45,3.24
470,Cherskiy,RU,1551679261,68.75,161.3,56,66,-4.62,5.7
471,Pozo Colorado,PY,1551679261,-23.49,-58.8,8,60,74.27,5.7
472,Sinor,IN,1551677400,21.91,73.34,75,45,82.4,5.82
473,Pirganj,BD,1551679262,25.85,88.36,8,59,75.03,5.03
474,Zemio,CF,1551679262,5.02,25.13,0,82,72.38,3.02
475,Atambua,ID,1551679263,-9.11,124.89,56,100,81.87,2.13
476,Dukat,RS,1551679249,42.44,22.31,0,84,28.99,1.9
477,Kyaukse,MM,1551673800,21.6,96.13,0,29,89.6,8.05
478,Namibe,AO,1551679264,-15.19,12.15,20,100,75.08,2.13
479,Yarmouth,GB,1551679255,50.71,-1.5,20,93,42.01,6.93
480,Porto Nacional,BR,1551675600,-10.7,-48.41,75,94,77.0,2.24
481,Beringovskiy,RU,1551679265,63.05,179.32,88,93,32.06,22.26
482,Labuhan,ID,1551679266,-2.54,115.51,32,86,81.87,2.91
483,Ruteng,ID,1551679266,-8.61,120.46,80,100,77.51,3.36
484,Ler,NO,1551679215,63.2,10.3,75,79,30.99,11.41
485,Taoudenni,ML,1551679267,22.68,-3.98,0,28,49.16,8.72
486,Limbang,BN,1551677400,4.75,115.01,75,70,87.8,6.93
487,Fort-Shevchenko,KZ,1551679268,44.51,50.26,80,90,39.26,10.63
488,Grand-Santi,GF,1551679269,4.27,-54.38,0,79,74.09,4.25
489,Kjollefjord,NO,1551678600,70.95,27.35,75,62,24.8,19.46
490,Harnosand,SE,1551679206,62.63,17.94,90,85,24.01,3.36
491,Chicama,PE,1551675600,-7.84,-79.15,75,88,73.4,8.05
492,Dolores,AR,1551679270,-36.31,-57.68,92,95,64.05,4.47
493,Togul,RU,1551679271,53.47,85.91,48,96,33.27,6.93
494,Grants,US,1551677700,35.15,-107.85,1,69,37.4,11.52
495,Goundam,ML,1551679271,16.42,-3.66,0,66,51.95,4.36
496,Sokoni,CD,1551679272,-12.89,28.78,32,84,70.62,4.47
497,Den Helder,NL,1551679235,52.96,4.76,90,93,46.99,28.86
498,Haines Junction,CA,1551679273,60.75,-137.51,56,85,4.61,2.13
499,Hammerfest,NO,1551678600,70.66,23.68,75,79,19.4,36.91
500,Hays,US,1551678338,38.88,-99.33,1,60,5.0,5.82
501,Mago,RU,1551679274,53.27,140.15,8,50,18.65,7.94
502,Preobrazheniye,RU,1551679275,42.9,133.91,8,34,46.32,1.68
503,Tual,ID,1551679275,-5.67,132.75,88,100,81.78,10.63
504,Vilela,PT,1551679262,41.66,-8.33,75,71,53.6,5.82
505,San Carlos de Bariloche,AR,1551675600,-41.13,-71.31,40,70,48.2,17.22
506,Nyagan,RU,1551679277,62.14,65.43,64,69,8.93,9.95
507,Sucua,EC,1551679277,-2.46,-78.17,20,87,62.93,2.91
508,Wamba,CD,1551679277,2.14,27.99,12,93,70.22,3.02
509,Wuhu,CN,1551675600,31.35,118.43,44,43,55.4,4.47
510,Baghdad,IQ,1551675600,33.3,44.38,0,62,53.6,9.17
511,Hami,CN,1551679279,42.84,93.51,8,52,51.45,1.12
512,Zhanakorgan,KZ,1551679279,43.91,67.25,92,99,46.91,15.43
513,Mananjary,MG,1551679279,-19.16,46.8,44,98,69.5,5.03
514,Kahului,US,1551678982,20.89,-156.47,75,73,69.8,9.17
515,San Luis,AR,1551679249,-33.3,-66.34,0,93,63.2,4.36
516,Yinchuan,CN,1551679283,38.48,106.21,32,48,54.33,4.36
517,Ust-Ishim,RU,1551679284,57.69,71.17,88,86,29.36,14.2
518,Dire Dawa,ET,1551679284,9.59,41.86,36,75,66.03,4.14
519,Petropavlovsk-Kamchatskiy,RU,1551675600,53.05,158.65,0,38,24.8,17.9
520,Skoghall,SE,1551678600,59.32,13.47,90,100,34.0,8.05
521,Pravdinsk,RU,1551675600,54.45,21.01,90,93,41.0,4.47
522,Deputatskiy,RU,1551679286,69.3,139.9,0,67,-10.52,2.91
523,Abha,SA,1551675600,18.22,42.5,0,47,59.0,5.82
524,Shingu,JP,1551675600,33.72,135.99,75,87,51.8,14.99
525,Shestakovo,RU,1551679287,56.49,103.96,0,54,27.92,3.47
526,Bichura,RU,1551679287,50.59,107.6,76,53,36.11,3.47
527,Gat,SN,1551677400,14.69,-16.54,0,72,60.8,17.22
528,Nikolayevsk-na-amure,RU,1551679288,53.14,140.72,0,60,16.76,8.39
529,Rudnyy,KZ,1551677400,52.96,63.12,0,78,12.2,15.66
530,Lodja,CD,1551679289,-3.52,23.6,36,93,74.36,3.13
531,Cape Coast,GH,1551679289,5.11,-1.24,12,90,76.65,3.91
532,Naftalan,AZ,1551677400,40.5,46.82,20,65,41.0,2.24
533,San Cristobal,EC,1551679217,-0.39,-78.55,75,93,57.2,8.05
534,Laguna,MX,1551679291,27.52,-110.01,0,53,62.3,2.68
535,Tarnos,FR,1551679282,43.54,-1.46,92,76,55.99,11.41
536,Sao Paulo de Olivenca,BR,1551679292,-3.38,-68.87,36,85,78.45,2.91
537,Malabo,CD,1551679292,1.56,30.43,44,90,67.16,3.13
538,Wagar,US,1551679216,31.44,-87.99,0,79,46.0,4.0
539,Binanwanaan,PH,1551679293,13.7,123.3,92,92,78.77,9.4
540,Chateaubelair,VC,1551679293,13.28,-61.25,20,78,77.0,27.51
541,Kitaotao,PH,1551679294,7.64,125.01,20,38,88.85,4.25
542,Chiang Khong,LA,1551678663,20.27,100.41,0,51,91.99,5.82
543,Olesnica,PL,1551679225,51.21,17.39,0,70,46.99,8.05
544,Konotop,UA,1551679295,51.24,33.21,92,97,35.21,19.24
545,Tingo Maria,PE,1551679296,-9.29,-76.01,80,87,64.64,2.57
546,Bulgan,MN,1551679296,48.81,103.53,0,23,42.27,7.16
547,Ancud,CL,1551679200,-41.87,-73.83,20,93,46.4,4.7
548,Burton,US,1551679289,43.0,-83.62,1,55,12.99,5.82
549,Zanjan,IR,1551675600,36.67,48.48,75,44,37.4,11.41
550,Roald,NO,1551678904,62.58,6.12,0,86,37.4,14.99
551,Russellville,US,1551679152,35.28,-93.13,40,63,28.4,6.93
552,Shawnee,US,1551679299,35.33,-96.93,1,56,16.0,18.34
553,Paamiut,GL,1551679299,61.99,-49.67,0,100,23.37,3.36
554,Russell,AR,1551675600,-33.01,-68.8,40,68,71.6,8.05
555,Eydhafushi,MV,1551679303,5.1,73.07,76,98,83.18,11.74
556,Kokopo,PG,1551679303,-4.34,152.27,36,99,82.82,7.61
557,Pavilosta,LV,1551676800,56.89,21.19,68,100,37.4,5.82
558,Dubbo,AU,1551675600,-32.25,148.6,0,21,91.4,5.82
559,Takhtamygda,RU,1551679307,54.1,123.57,32,47,29.45,3.58
560,Olinda,EC,1551679200,-2.03,-79.75,90,100,77.0,3.36
561,Severomorsk,RU,1551675600,69.07,33.42,0,64,1.4,4.47
562,Winnemucca,US,1551678352,40.97,-117.74,90,81,35.6,4.7
563,Cochrane,CL,1551679309,-47.25,-72.57,0,96,27.87,1.68
564,Faya,SA,1551675600,18.39,42.45,0,47,59.0,5.82
565,Trelew,AR,1551679310,-43.25,-65.31,88,39,62.43,12.75
566,Belyy Yar,RU,1551675600,53.6,91.39,0,52,44.6,2.24
567,Tavares,BR,1551679073,-7.64,-37.88,92,98,68.15,3.13
568,Luba,PH,1551679314,17.32,120.7,0,45,84.53,6.6
569,Lakes Entrance,AU,1551679252,-37.88,147.99,36,61,81.0,5.01
570,Bogacs,HU,1551679326,47.9,20.53,48,51,34.0,3.58
571,Nemuro,JP,1551675600,43.32,145.57,75,86,30.2,12.75
572,Neiafu,TO,1551679200,-18.65,-173.98,75,83,80.6,5.82
573,Nizwa,OM,1551679337,22.93,57.53,0,27,71.21,2.68
574,Archidona,EC,1551679338,-0.91,-77.81,12,89,54.42,2.57
575,Charlestown,US,1551679323,41.38,-71.64,90,100,34.0,9.17
576,Dotnuva,LT,1551676800,55.37,23.89,90,86,39.2,5.82
577,Contamana,PE,1551679339,-7.35,-75.01,12,86,77.78,2.13
578,Coshocton,US,1551679302,40.27,-81.86,90,79,25.0,4.7
579,Tuy Hoa,VN,1551679153,13.08,109.3,8,71,83.54,11.41
580,Salihorsk,BY,1551679340,52.79,27.54,92,96,41.78,10.96
581,Latung,ID,1551679340,-8.45,120.42,80,100,77.51,3.36
582,Jawhar,IN,1551679341,19.91,73.23,76,75,77.33,4.92
583,Bosaso,SO,1551679342,11.28,49.18,100,100,77.69,3.91
584,Cockburn Town,TC,1551679342,21.46,-71.14,0,97,77.78,17.9
585,Durres,AL,1551678600,41.32,19.44,0,74,35.6,2.24
